% x [m] ; Hm0_high [m]   filter: 0.15 - 2 Hz
  0.0000000e+000  1.0186663e-001
  1.0000000e+000  1.0289619e-001
  2.0000000e+000  1.0409143e-001
  3.0000000e+000  1.0565936e-001
  4.0000000e+000  1.0575543e-001
  5.0000000e+000  1.0560072e-001
  6.0000000e+000  1.0879139e-001
  7.0000000e+000  1.0811556e-001
  8.0000000e+000  1.0850498e-001
  9.0000000e+000  1.0880387e-001
  1.0000000e+001  1.0957975e-001
  1.1000000e+001  1.0953390e-001
  1.2000000e+001  1.0891315e-001
  1.3000000e+001  1.0651348e-001
  1.4000000e+001  1.1243112e-001
  1.5000000e+001  1.1232421e-001
  1.5500000e+001  1.1075404e-001
  1.6000000e+001  1.1097348e-001
  1.6500000e+001  1.1228765e-001
  1.7000000e+001  1.1317667e-001
  1.7500000e+001  1.1300794e-001
  1.8000000e+001  1.1163958e-001
  1.8500000e+001  1.0905165e-001
  1.9000000e+001  1.0903507e-001
  1.9200000e+001  1.1134570e-001
  1.9400000e+001  1.1120216e-001
  1.9600000e+001  1.1111420e-001
  1.9800000e+001  1.1238695e-001
  2.0000000e+001  1.1313881e-001
  2.0200000e+001  1.1382071e-001
  2.0400000e+001  1.1451562e-001
  2.0600000e+001  1.1410397e-001
  2.0800000e+001  1.1045002e-001
  2.1000000e+001  1.0748987e-001
  2.1200000e+001  1.0312346e-001
  2.1400000e+001  9.8950381e-002
  2.1600000e+001  9.6542275e-002
  2.1800000e+001  9.6166871e-002
  2.2000000e+001  9.5575009e-002
  2.2200000e+001  9.4343414e-002
  2.2400000e+001  9.3026111e-002
  2.2600000e+001  9.2300780e-002
  2.2800000e+001  9.0504007e-002
  2.3000000e+001  8.9490076e-002
  2.3200000e+001  8.8662267e-002
  2.3400000e+001  8.7355682e-002
  2.3600000e+001  8.6934500e-002
  2.3800000e+001  8.7225776e-002
  2.4000000e+001  8.7198888e-002
  2.4200000e+001  8.6897070e-002
  2.4400000e+001  8.7861214e-002
  2.4600000e+001  8.7934499e-002
  2.4800000e+001  8.7594603e-002
  2.5000000e+001  8.6830397e-002
  2.5200000e+001  8.4025283e-002
  2.5400000e+001  7.9286030e-002
  2.5600000e+001  7.5154032e-002
  2.5800000e+001  7.1758292e-002
  2.6000000e+001  6.8854864e-002
  2.6200000e+001  6.5012354e-002
  2.6400000e+001  6.2988504e-002
  2.6600000e+001  6.0547987e-002
  2.6800000e+001  5.6760404e-002
  2.7000000e+001  5.5511732e-002
  2.7250000e+001  5.3162982e-002
  2.7500000e+001  5.1372223e-002
  2.7750000e+001  4.9514833e-002
  2.8000000e+001  4.8407954e-002
  2.8250000e+001  4.5816807e-002
  2.8500000e+001  4.4027651e-002
