% x [m] ; Hm0_low [m]   filter: 0.03 - 0.15 Hz  
  0.0000000e+000  1.4021402e-002
  1.0000000e+000  1.4967487e-002
  2.0000000e+000  1.5420300e-002
  3.0000000e+000  1.5417694e-002
  4.0000000e+000  1.5558877e-002
  5.0000000e+000  1.5461660e-002
  6.0000000e+000  1.5453121e-002
  7.0000000e+000  1.5297771e-002
  8.0000000e+000  1.5711664e-002
  9.0000000e+000  1.6092579e-002
  1.0000000e+001  1.6131175e-002
  1.1000000e+001  1.6428307e-002
  1.2000000e+001  1.6585497e-002
  1.3000000e+001  1.5868709e-002
  1.4000000e+001  1.6224258e-002
  1.5000000e+001  1.5557383e-002
  1.5500000e+001  1.5010359e-002
  1.6000000e+001  1.5293079e-002
  1.6500000e+001  1.5496457e-002
  1.7000000e+001  1.6545900e-002
  1.7500000e+001  1.7747780e-002
  1.8000000e+001  1.9221542e-002
  1.8500000e+001  2.0816076e-002
  1.9000000e+001  2.2334456e-002
  1.9200000e+001  2.2717391e-002
  1.9400000e+001  2.2750047e-002
  1.9600000e+001  2.2929785e-002
  1.9800000e+001  2.3330450e-002
  2.0000000e+001  2.3300453e-002
  2.0200000e+001  2.3416324e-002
  2.0400000e+001  2.3532907e-002
  2.0600000e+001  2.3846219e-002
  2.0800000e+001  2.4000357e-002
  2.1000000e+001  2.3791639e-002
  2.1200000e+001  2.3638429e-002
  2.1400000e+001  2.3601700e-002
  2.1600000e+001  2.3599327e-002
  2.1800000e+001  2.3829085e-002
  2.2000000e+001  2.3834873e-002
  2.2200000e+001  2.3644064e-002
  2.2400000e+001  2.3844876e-002
  2.2600000e+001  2.3669259e-002
  2.2800000e+001  2.3691470e-002
  2.3000000e+001  2.3734310e-002
  2.3200000e+001  2.3640333e-002
  2.3400000e+001  2.3574143e-002
  2.3600000e+001  2.3512403e-002
  2.3800000e+001  2.3322634e-002
  2.4000000e+001  2.3251066e-002
  2.4200000e+001  2.3043996e-002
  2.4400000e+001  2.2862913e-002
  2.4600000e+001  2.2707489e-002
  2.4800000e+001  2.2310336e-002
  2.5000000e+001  2.2529773e-002
  2.5200000e+001  2.2144667e-002
  2.5400000e+001  2.2211957e-002
  2.5600000e+001  2.2153057e-002
  2.5800000e+001  2.2554636e-002
  2.6000000e+001  2.3617241e-002
  2.6200000e+001  2.4056272e-002
  2.6400000e+001  2.4777548e-002
  2.6600000e+001  2.5037734e-002
  2.6800000e+001  2.4990051e-002
  2.7000000e+001  2.5045751e-002
  2.7250000e+001  2.4734530e-002
  2.7500000e+001  2.3882395e-002
  2.7750000e+001  2.2713138e-002
  2.8000000e+001  2.1841709e-002
  2.8250000e+001  2.1587367e-002
  2.8500000e+001  2.2450154e-002
