% x [m] ; Hm0_tot [m]   filter: 0.03 - 2 Hz  
  0.0000000e+000  1.0282709e-001
  1.0000000e+000  1.0397909e-001
  2.0000000e+000  1.0522743e-001
  3.0000000e+000  1.0677830e-001
  4.0000000e+000  1.0689383e-001
  5.0000000e+000  1.0672663e-001
  6.0000000e+000  1.0988341e-001
  7.0000000e+000  1.0919247e-001
  8.0000000e+000  1.0963661e-001
  9.0000000e+000  1.0998751e-001
  1.0000000e+001  1.1076072e-001
  1.1000000e+001  1.1075904e-001
  1.2000000e+001  1.1016875e-001
  1.3000000e+001  1.0768908e-001
  1.4000000e+001  1.1359570e-001
  1.5000000e+001  1.1339647e-001
  1.5500000e+001  1.1176658e-001
  1.6000000e+001  1.1202228e-001
  1.6500000e+001  1.1335191e-001
  1.7000000e+001  1.1437974e-001
  1.7500000e+001  1.1439309e-001
  1.8000000e+001  1.1328223e-001
  1.8500000e+001  1.1102059e-001
  1.9000000e+001  1.1129903e-001
  1.9200000e+001  1.1363954e-001
  1.9400000e+001  1.1350544e-001
  1.9600000e+001  1.1345545e-001
  1.9800000e+001  1.1478299e-001
  2.0000000e+001  1.1551321e-001
  2.0200000e+001  1.1620447e-001
  2.0400000e+001  1.1690862e-001
  2.0600000e+001  1.1656911e-001
  2.0800000e+001  1.1302754e-001
  2.1000000e+001  1.1009139e-001
  2.1200000e+001  1.0579803e-001
  2.1400000e+001  1.0172619e-001
  2.1600000e+001  9.9384803e-002
  2.1800000e+001  9.9075185e-002
  2.2000000e+001  9.8502201e-002
  2.2200000e+001  9.7261100e-002
  2.2400000e+001  9.6033512e-002
  2.2600000e+001  9.5287291e-002
  2.2800000e+001  9.3553520e-002
  2.3000000e+001  9.2583968e-002
  2.3200000e+001  9.1759811e-002
  2.3400000e+001  9.0480690e-002
  2.3600000e+001  9.0057983e-002
  2.3800000e+001  9.0289984e-002
  2.4000000e+001  9.0245544e-002
  2.4200000e+001  8.9900648e-002
  2.4400000e+001  9.0787145e-002
  2.4600000e+001  9.0819085e-002
  2.4800000e+001  9.0391181e-002
  2.5000000e+001  8.9705677e-002
  2.5200000e+001  8.6894387e-002
  2.5400000e+001  8.2338603e-002
  2.5600000e+001  7.8351046e-002
  2.5800000e+001  7.5219440e-002
  2.6000000e+001  7.2792626e-002
  2.6200000e+001  6.9320346e-002
  2.6400000e+001  6.7686620e-002
  2.6600000e+001  6.5520583e-002
  2.6800000e+001  6.2018111e-002
  2.7000000e+001  6.0900263e-002
  2.7250000e+001  5.8635310e-002
  2.7500000e+001  5.6652221e-002
  2.7750000e+001  5.4475731e-002
  2.8000000e+001  5.3107347e-002
  2.8250000e+001  5.0647746e-002
  2.8500000e+001  4.9421084e-002
